4.99,4.99,4.91,4.99,4.59
4.59,4.21,4.59,4.64,4.59
4.61,4.61,4.5,4.61,4.19
4.02,4.02,4.01,4.02,3.81
3.81,3.81,3.81,3.81,3.6
3.47,3.47,3.44,3.47,3.33
3.35,3.35,3.36,3.35,3.28
3.48,3.48,3.57,3.48,3.45
3.19,3.19,3.2,3.19,3.02
4.0,4.0,3.96,4.0,3.59
4.5,4.5,4.37,4.5,4.05
4.56,4.56,4.56,4.56,4.37
4.41,4.86,4.99,4.52,4.99
4.64,4.59,4.59,4.12,4.46
4.61,4.37,4.61,4.67,4.34
4.02,3.82,4.02,4.04,3.79
3.81,3.75,3.81,4.05,3.59
3.47,3.52,3.47,3.76,3.49
3.35,3.57,3.35,3.63,3.45
3.48,3.6,3.48,3.68,3.55
3.19,3.07,3.19,3.38,3.2
4.0,3.61,4.0,3.88,3.8
4.5,4.23,4.5,4.46,4.33
4.56,4.26,4.56,4.54,4.47
4.86,4.86,4.86,4.86,4.86
4.5,4.4,4.4,4.46,4.4
4.34,4.34,4.34,4.51,4.34
3.79,3.79,3.79,3.79,3.79
3.59,3.59,3.59,3.59,3.59
3.49,3.49,3.49,3.49,3.49
3.45,3.45,3.45,3.45,3.45
3.55,3.55,3.55,3.55,3.55
3.2,3.2,3.2,3.2,3.2
3.8,3.8,3.8,3.8,3.8
4.33,4.33,4.33,4.33,4.33
4.47,4.47,4.47,4.47,4.47
4.86,4.86,4.86,4.86,4.86
4.4,4.5,4.4,4.46,4.4
4.34,4.34,4.34,4.51,4.34
3.79,3.79,3.79,3.79,3.79
3.59,3.59,3.59,3.59,3.59
3.49,3.49,3.49,3.49,3.49
3.45,3.45,3.45,3.45,3.45
3.55,3.55,3.55,3.55,3.55
3.2,3.2,3.2,3.2,3.2
3.8,3.8,3.8,3.8,3.8
4.33,4.33,4.33,4.33,4.33
4.47,4.47,4.47,4.47,4.47
4.59,4.59,4.91,4.99,4.91
4.21,4.64,4.59,4.64,4.59
4.19,4.5,4.61,4.5,4.61
3.81,4.01,4.02,4.01,4.02
3.6,3.81,3.81,3.81,3.81
3.33,3.44,3.47,3.44,3.47
3.28,3.36,3.35,3.36,3.35
3.45,3.57,3.48,3.57,3.48
3.02,3.2,3.19,3.2,3.19
3.59,3.96,4.0,3.96,4.0
4.05,4.37,4.5,4.37,4.5
4.37,4.56,4.56,4.56,4.56
4.99,4.99,4.99,4.91,4.99
4.59,4.59,4.59,4.64,4.59
4.61,4.61,4.61,4.5,4.61
4.02,4.02,4.02,4.01,4.02
3.81,3.81,3.81,3.81,3.81
3.47,3.47,3.47,3.44,3.47
3.35,3.35,3.35,3.36,3.35
3.48,3.48,3.48,3.57,3.48
3.19,3.19,3.19,3.2,3.19
4.0,4.0,4.0,3.96,4.0
4.5,4.5,4.5,4.37,4.5
4.56,4.56,4.56,4.56,4.56
4.99,4.99,4.99,4.41,4.99
4.59,4.59,4.59,4.64,4.59
4.61,4.61,4.61,4.61,4.3
4.02,4.02,4.02,4.02,3.76
3.81,3.81,3.81,3.81,3.61
3.47,3.47,3.47,3.47,3.25
3.35,3.35,3.35,3.35,3.31
3.48,3.48,3.48,3.48,3.46
3.19,3.19,3.19,3.19,2.97
4.0,4.0,4.0,4.0,3.45
4.5,4.5,4.5,4.5,4.05
4.56,4.56,4.56,4.56,4.06
4.52,4.41,4.99,5.04,4.86
4.4,4.5,4.4,4.59,4.4
4.34,4.51,4.61,4.51,4.5
3.79,3.88,4.02,3.92,4.01
3.59,3.66,3.81,3.68,3.81
3.49,3.37,3.47,3.41,3.44
3.45,3.31,3.35,3.31,3.36
3.55,3.45,3.48,3.48,3.57
3.2,3.06,3.19,3.11,3.2
3.8,3.73,4.0,3.77,3.96
4.33,4.4,4.5,4.39,4.37
4.47,4.58,4.56,4.54,4.56
4.86,5.04,4.86,4.41,4.41
4.08,4.4,4.4,4.5,4.59
4.3,4.51,4.61,4.51,4.5
3.76,3.88,4.02,3.92,4.01
3.61,3.66,3.81,3.68,3.81
3.25,3.37,3.47,3.41,3.44
3.31,3.31,3.35,3.31,3.36
3.46,3.45,3.48,3.48,3.57
2.97,3.06,3.19,3.11,3.2
3.45,3.73,4.0,3.77,3.96
4.05,4.4,4.5,4.39,4.37
4.06,4.58,4.56,4.54,4.56
4.86,4.86,4.86,4.86,5.04
4.46,4.4,4.4,4.5,4.59
4.34,4.34,4.34,4.67,4.34
3.79,3.79,3.79,4.04,3.79
3.59,3.59,3.59,4.05,3.59
3.49,3.49,3.49,3.76,3.49
3.45,3.45,3.45,3.63,3.45
3.55,3.55,3.55,3.68,3.55
3.2,3.2,3.2,3.38,3.2
3.8,3.8,3.8,3.88,3.8
4.33,4.33,4.33,4.46,4.33
4.47,4.47,4.47,4.54,4.47
4.59,4.59,4.91,4.91,4.91
4.59,4.64,4.59,4.59,4.08
4.5,4.61,4.51,4.3,4.3
4.01,4.02,3.92,3.76,3.88
3.81,3.81,3.68,3.61,3.66
3.44,3.47,3.41,3.25,3.37
3.36,3.35,3.31,3.31,3.31
3.57,3.48,3.48,3.46,3.45
3.2,3.19,3.11,2.97,3.06
3.96,4.0,3.77,3.45,3.73
4.37,4.5,4.39,4.05,4.4
4.56,4.56,4.54,4.06,4.58
4.99,4.91,4.99,4.91,4.59
4.59,4.59,4.64,4.59,4.21
4.61,4.61,4.5,4.61,4.19
4.02,4.02,4.01,4.02,3.81
3.81,3.81,3.81,3.81,3.6
3.47,3.47,3.44,3.47,3.33
3.35,3.35,3.36,3.35,3.28
3.48,3.48,3.57,3.48,3.45
3.19,3.19,3.2,3.19,3.02
4.0,4.0,3.96,4.0,3.59
4.5,4.5,4.37,4.5,4.05
4.56,4.56,4.56,4.56,4.37
4.91,4.99,4.99,4.91,4.99
4.64,4.59,4.59,4.59,4.64
4.5,4.61,4.61,4.61,4.5
4.01,4.02,4.02,4.02,4.01
